"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Portugal (PT)","01.01.2022 00:00 - 01.01.2022 01:00 (UTC)","417","n/e","n/e","n/e","158","0","n/e","n/e","n/e","n/e","256","666","339","50","n/e","n/e","26","n/e","0","n/e","25","2303"
"Portugal (PT)","01.01.2022 01:00 - 01.01.2022 02:00 (UTC)","423","n/e","n/e","n/e","154","0","n/e","n/e","n/e","n/e","26","732","195","51","n/e","n/e","28","n/e","0","n/e","25","2220"
"Portugal (PT)","01.01.2022 02:00 - 01.01.2022 03:00 (UTC)","420","n/e","n/e","n/e","155","0","n/e","n/e","n/e","n/e","0","1104","174","44","n/e","n/e","28","n/e","0","n/e","25","2146"
"Portugal (PT)","01.01.2022 03:00 - 01.01.2022 04:00 (UTC)","418","n/e","n/e","n/e","155","0","n/e","n/e","n/e","n/e","0","1254","145","46","n/e","n/e","27","n/e","0","n/e","25","2227"
"Portugal (PT)","01.01.2022 04:00 - 01.01.2022 05:00 (UTC)","414","n/e","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1484","142","45","n/e","n/e","26","n/e","0","n/e","25","2357"
"Portugal (PT)","01.01.2022 05:00 - 01.01.2022 06:00 (UTC)","418","n/e","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1623","186","48","n/e","n/e","27","n/e","0","n/e","25","2415"
"Portugal (PT)","01.01.2022 06:00 - 01.01.2022 07:00 (UTC)","416","n/e","n/e","n/e","155","0","n/e","n/e","n/e","n/e","0","1705","319","46","n/e","n/e","28","n/e","0","n/e","25","2441"
"Portugal (PT)","01.01.2022 07:00 - 01.01.2022 08:00 (UTC)","406","n/e","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1544","346","41","n/e","n/e","27","n/e","2","n/e","25","2559"
"Portugal (PT)","01.01.2022 08:00 - 01.01.2022 09:00 (UTC)","403","n/e","n/e","n/e","156","0","n/e","n/e","n/e","n/e","0","1952","177","52","n/e","n/e","27","n/e","116","n/e","25","2707"
"Portugal (PT)","01.01.2022 09:00 - 01.01.2022 10:00 (UTC)","404","n/e","n/e","n/e","157","0","n/e","n/e","n/e","n/e","0","1749","185","67","n/e","n/e","27","n/e","410","n/e","25","2671"
"Portugal (PT)","01.01.2022 10:00 - 01.01.2022 11:00 (UTC)","406","n/e","n/e","n/e","156","0","n/e","n/e","n/e","n/e","0","1435","182","34","n/e","n/e","27","n/e","629","n/e","25","2460"
"Portugal (PT)","01.01.2022 11:00 - 01.01.2022 12:00 (UTC)","395","n/e","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1416","156","35","n/e","n/e","27","n/e","711","n/e","25","2308"
"Portugal (PT)","01.01.2022 12:00 - 01.01.2022 13:00 (UTC)","396","n/e","n/e","n/e","155","0","n/e","n/e","n/e","n/e","0","1726","155","35","n/e","n/e","27","n/e","712","n/e","25","2298"
"Portugal (PT)","01.01.2022 13:00 - 01.01.2022 14:00 (UTC)","395","n/e","n/e","n/e","153","0","n/e","n/e","n/e","n/e","0","1742","155","33","n/e","n/e","26","n/e","660","n/e","25","2222"
"Portugal (PT)","01.01.2022 14:00 - 01.01.2022 15:00 (UTC)","395","n/e","n/e","n/e","150","0","n/e","n/e","n/e","n/e","0","1625","165","34","n/e","n/e","27","n/e","572","n/e","25","2099"
"Portugal (PT)","01.01.2022 15:00 - 01.01.2022 16:00 (UTC)","394","n/e","n/e","n/e","148","0","n/e","n/e","n/e","n/e","3","1510","168","33","n/e","n/e","28","n/e","401","n/e","25","2055"
"Portugal (PT)","01.01.2022 16:00 - 01.01.2022 17:00 (UTC)","387","n/e","n/e","n/e","153","0","n/e","n/e","n/e","n/e","114","288","279","34","n/e","n/e","26","n/e","159","n/e","25","2231"
"Portugal (PT)","01.01.2022 17:00 - 01.01.2022 18:00 (UTC)","389","n/e","n/e","n/e","155","0","n/e","n/e","n/e","n/e","301","3","428","97","n/e","n/e","26","n/e","3","n/e","25","2543"
"Portugal (PT)","01.01.2022 18:00 - 01.01.2022 19:00 (UTC)","386","n/e","n/e","n/e","155","0","n/e","n/e","n/e","n/e","438","3","551","93","n/e","n/e","26","n/e","0","n/e","25","2744"
"Portugal (PT)","01.01.2022 19:00 - 01.01.2022 20:00 (UTC)","386","n/e","n/e","n/e","155","0","n/e","n/e","n/e","n/e","248","94","829","159","n/e","n/e","26","n/e","0","n/e","25","2836"
"Portugal (PT)","01.01.2022 20:00 - 01.01.2022 21:00 (UTC)","387","n/e","n/e","n/e","155","0","n/e","n/e","n/e","n/e","280","241","814","164","n/e","n/e","25","n/e","0","n/e","25","2900"
"Portugal (PT)","01.01.2022 21:00 - 01.01.2022 22:00 (UTC)","389","n/e","n/e","n/e","155","0","n/e","n/e","n/e","n/e","86","465","909","80","n/e","n/e","25","n/e","0","n/e","22","2664"
"Portugal (PT)","01.01.2022 22:00 - 01.01.2022 23:00 (UTC)","392","n/e","n/e","n/e","156","0","n/e","n/e","n/e","n/e","0","955","578","31","n/e","n/e","27","n/e","0","n/e","17","2483"
"Portugal (PT)","01.01.2022 23:00 - 02.01.2022 00:00 (UTC)","391","n/e","n/e","n/e","156","0","n/e","n/e","n/e","n/e","0","450","637","75","n/e","n/e","26","n/e","0","n/e","6","2229"
"Portugal (PT)","02.01.2022 00:00 - 02.01.2022 01:00 (UTC)","387","n/e","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1409","520","32","n/e","n/e","27","n/e","0","n/e","4","1933"
"Portugal (PT)","02.01.2022 01:00 - 02.01.2022 02:00 (UTC)","387","n/e","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1457","333","42","n/e","n/e","27","n/e","0","n/e","3","1645"
"Portugal (PT)","02.01.2022 02:00 - 02.01.2022 03:00 (UTC)","387","n/e","n/e","n/e","153","0","n/e","n/e","n/e","n/e","0","1327","114","34","n/e","n/e","26","n/e","0","n/e","3","1473"
"Portugal (PT)","02.01.2022 03:00 - 02.01.2022 04:00 (UTC)","393","n/e","n/e","n/e","155","0","n/e","n/e","n/e","n/e","0","1408","105","38","n/e","n/e","26","n/e","0","n/e","2","1283"
"Portugal (PT)","02.01.2022 04:00 - 02.01.2022 05:00 (UTC)","389","n/e","n/e","n/e","155","0","n/e","n/e","n/e","n/e","0","1163","106","38","n/e","n/e","26","n/e","0","n/e","2","1029"
"Portugal (PT)","02.01.2022 05:00 - 02.01.2022 06:00 (UTC)","389","n/e","n/e","n/e","177","0","n/e","n/e","n/e","n/e","0","821","104","43","n/e","n/e","25","n/e","0","n/e","1","673"
"Portugal (PT)","02.01.2022 06:00 - 02.01.2022 07:00 (UTC)","392","n/e","n/e","n/e","287","0","n/e","n/e","n/e","n/e","0","591","217","34","n/e","n/e","26","n/e","0","n/e","2","510"
"Portugal (PT)","02.01.2022 07:00 - 02.01.2022 08:00 (UTC)","386","n/e","n/e","n/e","412","0","n/e","n/e","n/e","n/e","43","435","307","62","n/e","n/e","25","n/e","1","n/e","2","380"
"Portugal (PT)","02.01.2022 08:00 - 02.01.2022 09:00 (UTC)","382","n/e","n/e","n/e","510","0","n/e","n/e","n/e","n/e","1","113","216","54","n/e","n/e","24","n/e","65","n/e","2","293"
"Portugal (PT)","02.01.2022 09:00 - 02.01.2022 10:00 (UTC)","379","n/e","n/e","n/e","639","0","n/e","n/e","n/e","n/e","0","287","214","50","n/e","n/e","25","n/e","296","n/e","5","258"
"Portugal (PT)","02.01.2022 10:00 - 02.01.2022 11:00 (UTC)","383","n/e","n/e","n/e","906","0","n/e","n/e","n/e","n/e","0","414","167","122","n/e","n/e","25","n/e","485","n/e","8","245"
"Portugal (PT)","02.01.2022 11:00 - 02.01.2022 12:00 (UTC)","387","n/e","n/e","n/e","978","0","n/e","n/e","n/e","n/e","0","408","150","115","n/e","n/e","25","n/e","566","n/e","9","131"
"Portugal (PT)","02.01.2022 12:00 - 02.01.2022 13:00 (UTC)","387","n/e","n/e","n/e","953","0","n/e","n/e","n/e","n/e","0","355","159","125","n/e","n/e","25","n/e","635","n/e","9","107"
"Portugal (PT)","02.01.2022 13:00 - 02.01.2022 14:00 (UTC)","387","n/e","n/e","n/e","906","0","n/e","n/e","n/e","n/e","0","109","145","59","n/e","n/e","25","n/e","650","n/e","7","98"
"Portugal (PT)","02.01.2022 14:00 - 02.01.2022 15:00 (UTC)","389","n/e","n/e","n/e","952","0","n/e","n/e","n/e","n/e","0","437","153","24","n/e","n/e","25","n/e","565","n/e","5","93"
"Portugal (PT)","02.01.2022 15:00 - 02.01.2022 16:00 (UTC)","388","n/e","n/e","n/e","984","0","n/e","n/e","n/e","n/e","0","76","213","22","n/e","n/e","26","n/e","390","n/e","4","72"
"Portugal (PT)","02.01.2022 16:00 - 02.01.2022 17:00 (UTC)","385","n/e","n/e","n/e","967","0","n/e","n/e","n/e","n/e","47","4","533","154","n/e","n/e","26","n/e","125","n/e","3","89"
"Portugal (PT)","02.01.2022 17:00 - 02.01.2022 18:00 (UTC)","388","n/e","n/e","n/e","1141","0","n/e","n/e","n/e","n/e","1699","0","920","431","n/e","n/e","26","n/e","6","n/e","2","111"
"Portugal (PT)","02.01.2022 18:00 - 02.01.2022 19:00 (UTC)","390","n/e","n/e","n/e","1163","0","n/e","n/e","n/e","n/e","1739","0","1502","435","n/e","n/e","26","n/e","0","n/e","1","108"
"Portugal (PT)","02.01.2022 19:00 - 02.01.2022 20:00 (UTC)","404","n/e","n/e","n/e","1267","0","n/e","n/e","n/e","n/e","1800","0","1702","510","n/e","n/e","25","n/e","0","n/e","2","105"
"Portugal (PT)","02.01.2022 20:00 - 02.01.2022 21:00 (UTC)","404","n/e","n/e","n/e","1428","0","n/e","n/e","n/e","n/e","1705","0","1660","700","n/e","n/e","24","n/e","0","n/e","1","78"
"Portugal (PT)","02.01.2022 21:00 - 02.01.2022 22:00 (UTC)","405","n/e","n/e","n/e","1560","0","n/e","n/e","n/e","n/e","1154","1","1246","401","n/e","n/e","25","n/e","0","n/e","1","94"
"Portugal (PT)","02.01.2022 22:00 - 02.01.2022 23:00 (UTC)","413","n/e","n/e","n/e","1456","0","n/e","n/e","n/e","n/e","399","3","758","152","n/e","n/e","26","n/e","0","n/e","2","147"
"Portugal (PT)","02.01.2022 23:00 - 03.01.2022 00:00 (UTC)","408","n/e","n/e","n/e","1433","0","n/e","n/e","n/e","n/e","1664","1","488","231","n/e","n/e","26","n/e","0","n/e","3","218"
"Portugal (PT)","03.01.2022 00:00 - 03.01.2022 01:00 (UTC)","399","n/e","n/e","n/e","1415","0","n/e","n/e","n/e","n/e","459","3","504","221","n/e","n/e","26","n/e","0","n/e","3","262"
"Portugal (PT)","03.01.2022 01:00 - 03.01.2022 02:00 (UTC)","382","n/e","n/e","n/e","1385","0","n/e","n/e","n/e","n/e","50","5","250","40","n/e","n/e","26","n/e","0","n/e","4","340"
"Portugal (PT)","03.01.2022 02:00 - 03.01.2022 03:00 (UTC)","381","n/e","n/e","n/e","1234","0","n/e","n/e","n/e","n/e","0","7","103","20","n/e","n/e","26","n/e","0","n/e","6","415"
"Portugal (PT)","03.01.2022 03:00 - 03.01.2022 04:00 (UTC)","377","n/e","n/e","n/e","1186","0","n/e","n/e","n/e","n/e","0","7","107","20","n/e","n/e","23","n/e","0","n/e","9","561"
"Portugal (PT)","03.01.2022 04:00 - 03.01.2022 05:00 (UTC)","378","n/e","n/e","n/e","1140","0","n/e","n/e","n/e","n/e","0","7","110","20","n/e","n/e","24","n/e","0","n/e","11","710"
"Portugal (PT)","03.01.2022 05:00 - 03.01.2022 06:00 (UTC)","375","n/e","n/e","n/e","1323","0","n/e","n/e","n/e","n/e","15","7","149","20","n/e","n/e","24","n/e","0","n/e","14","808"
"Portugal (PT)","03.01.2022 06:00 - 03.01.2022 07:00 (UTC)","373","n/e","n/e","n/e","1649","0","n/e","n/e","n/e","n/e","806","2","360","89","n/e","n/e","24","n/e","0","n/e","21","871"
"Portugal (PT)","03.01.2022 07:00 - 03.01.2022 08:00 (UTC)","370","n/e","n/e","n/e","1835","0","n/e","n/e","n/e","n/e","1368","1","972","341","n/e","n/e","25","n/e","1","n/e","21","1033"
"Portugal (PT)","03.01.2022 08:00 - 03.01.2022 09:00 (UTC)","368","n/e","n/e","n/e","1863","0","n/e","n/e","n/e","n/e","1288","1","960","298","n/e","n/e","25","n/e","86","n/e","23","1208"
"Portugal (PT)","03.01.2022 09:00 - 03.01.2022 10:00 (UTC)","367","n/e","n/e","n/e","1942","0","n/e","n/e","n/e","n/e","890","2","457","177","n/e","n/e","24","n/e","310","n/e","22","1229"
"Portugal (PT)","03.01.2022 10:00 - 03.01.2022 11:00 (UTC)","364","n/e","n/e","n/e","1946","0","n/e","n/e","n/e","n/e","153","5","154","84","n/e","n/e","24","n/e","515","n/e","25","1288"
"Portugal (PT)","03.01.2022 11:00 - 03.01.2022 12:00 (UTC)","357","n/e","n/e","n/e","2015","0","n/e","n/e","n/e","n/e","0","5","150","20","n/e","n/e","25","n/e","627","n/e","25","1328"
"Portugal (PT)","03.01.2022 12:00 - 03.01.2022 13:00 (UTC)","359","n/e","n/e","n/e","2033","0","n/e","n/e","n/e","n/e","0","47","143","20","n/e","n/e","25","n/e","674","n/e","24","1409"
"Portugal (PT)","03.01.2022 13:00 - 03.01.2022 14:00 (UTC)","364","n/e","n/e","n/e","1787","0","n/e","n/e","n/e","n/e","0","323","138","20","n/e","n/e","25","n/e","673","n/e","15","1505"
"Portugal (PT)","03.01.2022 14:00 - 03.01.2022 15:00 (UTC)","356","n/e","n/e","n/e","1909","0","n/e","n/e","n/e","n/e","0","820","150","20","n/e","n/e","25","n/e","582","n/e","18","1607"
"Portugal (PT)","03.01.2022 15:00 - 03.01.2022 16:00 (UTC)","354","n/e","n/e","n/e","2110","0","n/e","n/e","n/e","n/e","0","110","154","55","n/e","n/e","25","n/e","407","n/e","16","1764"
"Portugal (PT)","03.01.2022 16:00 - 03.01.2022 17:00 (UTC)","358","n/e","n/e","n/e","2095","0","n/e","n/e","n/e","n/e","227","5","725","161","n/e","n/e","26","n/e","134","n/e","19","1973"
"Portugal (PT)","03.01.2022 17:00 - 03.01.2022 18:00 (UTC)","368","n/e","n/e","n/e","1975","0","n/e","n/e","n/e","n/e","1492","1","1333","417","n/e","n/e","26","n/e","4","n/e","24","2336"
"Portugal (PT)","03.01.2022 18:00 - 03.01.2022 19:00 (UTC)","374","n/e","n/e","n/e","2056","0","n/e","n/e","n/e","n/e","1537","1","1409","458","n/e","n/e","26","n/e","0","n/e","22","2571"
"Portugal (PT)","03.01.2022 19:00 - 03.01.2022 20:00 (UTC)","371","n/e","n/e","n/e","2006","0","n/e","n/e","n/e","n/e","607","2","841","160","n/e","n/e","24","n/e","0","n/e","25","2736"
"Portugal (PT)","03.01.2022 20:00 - 03.01.2022 21:00 (UTC)","369","n/e","n/e","n/e","2085","0","n/e","n/e","n/e","n/e","82","3","544","108","n/e","n/e","24","n/e","0","n/e","23","2840"
"Portugal (PT)","03.01.2022 21:00 - 03.01.2022 22:00 (UTC)","373","n/e","n/e","n/e","2169","0","n/e","n/e","n/e","n/e","276","4","475","290","n/e","n/e","24","n/e","0","n/e","25","2920"
"Portugal (PT)","03.01.2022 22:00 - 03.01.2022 23:00 (UTC)","377","n/e","n/e","n/e","1633","0","n/e","n/e","n/e","n/e","6","40","119","21","n/e","n/e","25","n/e","0","n/e","25","2997"
"Portugal (PT)","03.01.2022 23:00 - 04.01.2022 00:00 (UTC)","380","n/e","n/e","n/e","869","0","n/e","n/e","n/e","n/e","0","773","151","45","n/e","n/e","24","n/e","0","n/e","25","3072"
"Portugal (PT)","04.01.2022 00:00 - 04.01.2022 01:00 (UTC)","377","n/e","n/e","n/e","402","0","n/e","n/e","n/e","n/e","0","426","158","58","n/e","n/e","25","n/e","0","n/e","25","3339"
"Portugal (PT)","04.01.2022 01:00 - 04.01.2022 02:00 (UTC)","372","n/e","n/e","n/e","453","0","n/e","n/e","n/e","n/e","0","1228","141","33","n/e","n/e","25","n/e","0","n/e","25","3702"
"Portugal (PT)","04.01.2022 02:00 - 04.01.2022 03:00 (UTC)","366","n/e","n/e","n/e","400","0","n/e","n/e","n/e","n/e","0","2000","89","20","n/e","n/e","25","n/e","0","n/e","25","3941"
"Portugal (PT)","04.01.2022 03:00 - 04.01.2022 04:00 (UTC)","365","n/e","n/e","n/e","398","0","n/e","n/e","n/e","n/e","0","1995","88","20","n/e","n/e","25","n/e","0","n/e","25","4012"
"Portugal (PT)","04.01.2022 04:00 - 04.01.2022 05:00 (UTC)","359","n/e","n/e","n/e","387","0","n/e","n/e","n/e","n/e","0","1012","142","99","n/e","n/e","24","n/e","0","n/e","25","4041"
"Portugal (PT)","04.01.2022 05:00 - 04.01.2022 06:00 (UTC)","373","n/e","n/e","n/e","497","0","n/e","n/e","n/e","n/e","17","310","149","94","n/e","n/e","25","n/e","0","n/e","12","4035"
"Portugal (PT)","04.01.2022 06:00 - 04.01.2022 07:00 (UTC)","365","n/e","n/e","n/e","950","0","n/e","n/e","n/e","n/e","941","6","272","586","n/e","n/e","25","n/e","0","n/e","20","4003"
"Portugal (PT)","04.01.2022 07:00 - 04.01.2022 08:00 (UTC)","363","n/e","n/e","n/e","1338","0","n/e","n/e","n/e","n/e","1254","1","546","688","n/e","n/e","24","n/e","0","n/e","25","4254"
"Portugal (PT)","04.01.2022 08:00 - 04.01.2022 09:00 (UTC)","371","n/e","n/e","n/e","1530","0","n/e","n/e","n/e","n/e","1499","1","652","631","n/e","n/e","25","n/e","52","n/e","25","4292"
"Portugal (PT)","04.01.2022 09:00 - 04.01.2022 10:00 (UTC)","371","n/e","n/e","n/e","1613","0","n/e","n/e","n/e","n/e","1830","1","683","797","n/e","n/e","25","n/e","103","n/e","24","3696"
"Portugal (PT)","04.01.2022 10:00 - 04.01.2022 11:00 (UTC)","361","n/e","n/e","n/e","1589","0","n/e","n/e","n/e","n/e","1885","1","886","944","n/e","n/e","25","n/e","124","n/e","15","3009"
"Portugal (PT)","04.01.2022 11:00 - 04.01.2022 12:00 (UTC)","373","n/e","n/e","n/e","1566","0","n/e","n/e","n/e","n/e","1307","1","387","620","n/e","n/e","25","n/e","150","n/e","5","3660"
"Portugal (PT)","04.01.2022 12:00 - 04.01.2022 13:00 (UTC)","369","n/e","n/e","n/e","1554","0","n/e","n/e","n/e","n/e","1279","1","354","493","n/e","n/e","26","n/e","262","n/e","4","3818"
"Portugal (PT)","04.01.2022 13:00 - 04.01.2022 14:00 (UTC)","391","n/e","n/e","n/e","1541","0","n/e","n/e","n/e","n/e","1346","1","274","448","n/e","n/e","25","n/e","355","n/e","2","3896"
"Portugal (PT)","04.01.2022 14:00 - 04.01.2022 15:00 (UTC)","379","n/e","n/e","n/e","1466","0","n/e","n/e","n/e","n/e","1194","1","235","458","n/e","n/e","26","n/e","397","n/e","8","4060"
"Portugal (PT)","04.01.2022 15:00 - 04.01.2022 16:00 (UTC)","389","n/e","n/e","n/e","1548","0","n/e","n/e","n/e","n/e","1264","1","257","496","n/e","n/e","26","n/e","296","n/e","16","3989"
"Portugal (PT)","04.01.2022 16:00 - 04.01.2022 17:00 (UTC)","388","n/e","n/e","n/e","1559","0","n/e","n/e","n/e","n/e","1501","1","341","700","n/e","n/e","24","n/e","101","n/e","17","3860"
"Portugal (PT)","04.01.2022 17:00 - 04.01.2022 18:00 (UTC)","378","n/e","n/e","n/e","1493","0","n/e","n/e","n/e","n/e","1894","25","954","1039","n/e","n/e","21","n/e","3","n/e","24","3881"
"Portugal (PT)","04.01.2022 18:00 - 04.01.2022 19:00 (UTC)","376","n/e","n/e","n/e","1420","0","n/e","n/e","n/e","n/e","1723","1","793","1094","n/e","n/e","20","n/e","0","n/e","20","3528"
"Portugal (PT)","04.01.2022 19:00 - 04.01.2022 20:00 (UTC)","389","n/e","n/e","n/e","1457","0","n/e","n/e","n/e","n/e","1286","1","379","556","n/e","n/e","20","n/e","0","n/e","15","3068"
"Portugal (PT)","04.01.2022 20:00 - 04.01.2022 21:00 (UTC)","397","n/e","n/e","n/e","1440","0","n/e","n/e","n/e","n/e","863","2","239","471","n/e","n/e","22","n/e","0","n/e","19","2879"
"Portugal (PT)","04.01.2022 21:00 - 04.01.2022 22:00 (UTC)","390","n/e","n/e","n/e","1331","0","n/e","n/e","n/e","n/e","236","13","159","224","n/e","n/e","21","n/e","0","n/e","17","3072"
"Portugal (PT)","04.01.2022 22:00 - 04.01.2022 23:00 (UTC)","378","n/e","n/e","n/e","820","0","n/e","n/e","n/e","n/e","153","625","113","164","n/e","n/e","19","n/e","0","n/e","18","3147"
"Portugal (PT)","04.01.2022 23:00 - 05.01.2022 00:00 (UTC)","394","n/e","n/e","n/e","451","0","n/e","n/e","n/e","n/e","65","686","110","221","n/e","n/e","21","n/e","0","n/e","15","2758"
"Portugal (PT)","05.01.2022 00:00 - 05.01.2022 01:00 (UTC)","415","n/e","n/e","n/e","423","0","n/e","n/e","n/e","n/e","0","1417","119","99","n/e","n/e","22","n/e","0","n/e","9","2659"
"Portugal (PT)","05.01.2022 01:00 - 05.01.2022 02:00 (UTC)","407","n/e","n/e","n/e","405","0","n/e","n/e","n/e","n/e","0","1490","120","102","n/e","n/e","21","n/e","0","n/e","6","2571"
"Portugal (PT)","05.01.2022 02:00 - 05.01.2022 03:00 (UTC)","400","n/e","n/e","n/e","457","0","n/e","n/e","n/e","n/e","0","1613","115","84","n/e","n/e","20","n/e","0","n/e","5","2307"
"Portugal (PT)","05.01.2022 03:00 - 05.01.2022 04:00 (UTC)","399","n/e","n/e","n/e","394","0","n/e","n/e","n/e","n/e","0","1642","110","89","n/e","n/e","20","n/e","0","n/e","3","2368"
"Portugal (PT)","05.01.2022 04:00 - 05.01.2022 05:00 (UTC)","400","n/e","n/e","n/e","437","0","n/e","n/e","n/e","n/e","5","1717","164","151","n/e","n/e","21","n/e","0","n/e","1","2328"
"Portugal (PT)","05.01.2022 05:00 - 05.01.2022 06:00 (UTC)","392","n/e","n/e","n/e","643","0","n/e","n/e","n/e","n/e","436","37","106","227","n/e","n/e","20","n/e","0","n/e","4","1988"
"Portugal (PT)","05.01.2022 06:00 - 05.01.2022 07:00 (UTC)","387","n/e","n/e","n/e","1231","0","n/e","n/e","n/e","n/e","1615","5","224","642","n/e","n/e","18","n/e","0","n/e","6","1748"
"Portugal (PT)","05.01.2022 07:00 - 05.01.2022 08:00 (UTC)","385","n/e","n/e","n/e","1638","0","n/e","n/e","n/e","n/e","1695","1","471","759","n/e","n/e","19","n/e","0","n/e","2","1897"
"Portugal (PT)","05.01.2022 08:00 - 05.01.2022 09:00 (UTC)","384","n/e","n/e","n/e","1927","0","n/e","n/e","n/e","n/e","1602","1","735","723","n/e","n/e","20","n/e","87","n/e","6","2062"
"Portugal (PT)","05.01.2022 09:00 - 05.01.2022 10:00 (UTC)","391","n/e","n/e","n/e","1899","0","n/e","n/e","n/e","n/e","1389","2","661","760","n/e","n/e","20","n/e","337","n/e","15","2278"
"Portugal (PT)","05.01.2022 10:00 - 05.01.2022 11:00 (UTC)","385","n/e","n/e","n/e","2068","0","n/e","n/e","n/e","n/e","231","5","445","500","n/e","n/e","21","n/e","480","n/e","20","2793"
"Portugal (PT)","05.01.2022 11:00 - 05.01.2022 12:00 (UTC)","391","n/e","n/e","n/e","2106","0","n/e","n/e","n/e","n/e","258","5","266","597","n/e","n/e","22","n/e","480","n/e","25","3233"
"Portugal (PT)","05.01.2022 12:00 - 05.01.2022 13:00 (UTC)","386","n/e","n/e","n/e","2104","0","n/e","n/e","n/e","n/e","108","5","209","300","n/e","n/e","22","n/e","442","n/e","21","3725"
"Portugal (PT)","05.01.2022 13:00 - 05.01.2022 14:00 (UTC)","382","n/e","n/e","n/e","2154","0","n/e","n/e","n/e","n/e","23","5","203","208","n/e","n/e","21","n/e","382","n/e","23","3965"
"Portugal (PT)","05.01.2022 14:00 - 05.01.2022 15:00 (UTC)","391","n/e","n/e","n/e","2138","0","n/e","n/e","n/e","n/e","178","5","206","525","n/e","n/e","21","n/e","346","n/e","25","4014"
"Portugal (PT)","05.01.2022 15:00 - 05.01.2022 16:00 (UTC)","390","n/e","n/e","n/e","2281","0","n/e","n/e","n/e","n/e","861","4","343","692","n/e","n/e","22","n/e","216","n/e","25","4082"
"Portugal (PT)","05.01.2022 16:00 - 05.01.2022 17:00 (UTC)","382","n/e","n/e","n/e","2463","0","n/e","n/e","n/e","n/e","1457","1","767","924","n/e","n/e","23","n/e","76","n/e","25","4080"
"Portugal (PT)","05.01.2022 17:00 - 05.01.2022 18:00 (UTC)","393","n/e","n/e","n/e","2433","0","n/e","n/e","n/e","n/e","1676","1","1142","1083","n/e","n/e","23","n/e","2","n/e","25","4072"
"Portugal (PT)","05.01.2022 18:00 - 05.01.2022 19:00 (UTC)","397","n/e","n/e","n/e","2439","0","n/e","n/e","n/e","n/e","1901","1","1332","999","n/e","n/e","21","n/e","0","n/e","25","3787"
"Portugal (PT)","05.01.2022 19:00 - 05.01.2022 20:00 (UTC)","400","n/e","n/e","n/e","2481","0","n/e","n/e","n/e","n/e","1998","1","1324","1096","n/e","n/e","22","n/e","0","n/e","21","3391"
"Portugal (PT)","05.01.2022 20:00 - 05.01.2022 21:00 (UTC)","405","n/e","n/e","n/e","2501","0","n/e","n/e","n/e","n/e","1785","1","1099","672","n/e","n/e","22","n/e","0","n/e","8","3157"
"Portugal (PT)","05.01.2022 21:00 - 05.01.2022 22:00 (UTC)","411","n/e","n/e","n/e","2380","0","n/e","n/e","n/e","n/e","1306","2","704","533","n/e","n/e","23","n/e","0","n/e","5","2762"
"Portugal (PT)","05.01.2022 22:00 - 05.01.2022 23:00 (UTC)","412","n/e","n/e","n/e","1725","0","n/e","n/e","n/e","n/e","312","101","254","174","n/e","n/e","22","n/e","0","n/e","1","2587"
"Portugal (PT)","05.01.2022 23:00 - 06.01.2022 00:00 (UTC)","410","n/e","n/e","n/e","1259","0","n/e","n/e","n/e","n/e","69","85","197","157","n/e","n/e","23","n/e","0","n/e","0","2429"
"Portugal (PT)","06.01.2022 00:00 - 06.01.2022 01:00 (UTC)","407","n/e","n/e","n/e","1193","0","n/e","n/e","n/e","n/e","4","170","152","157","n/e","n/e","23","n/e","0","n/e","0","2241"
"Portugal (PT)","06.01.2022 01:00 - 06.01.2022 02:00 (UTC)","406","n/e","n/e","n/e","1101","0","n/e","n/e","n/e","n/e","0","252","155","107","n/e","n/e","23","n/e","0","n/e","0","2077"
"Portugal (PT)","06.01.2022 02:00 - 06.01.2022 03:00 (UTC)","405","n/e","n/e","n/e","1292","0","n/e","n/e","n/e","n/e","0","253","137","193","n/e","n/e","22","n/e","0","n/e","0","1744"
"Portugal (PT)","06.01.2022 03:00 - 06.01.2022 04:00 (UTC)","405","n/e","n/e","n/e","1198","0","n/e","n/e","n/e","n/e","3","254","131","108","n/e","n/e","22","n/e","0","n/e","0","1563"
