"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Portugal (PT)","12.02.2022 05:00 - 12.02.2022 06:00 (UTC)","419","n/e","n/e","n/e","1921","0","n/e","n/e","n/e","n/e","0","15","60","0","n/e","n/e","28","n/e","0","n/e","0","144"
"Portugal (PT)","12.02.2022 06:00 - 12.02.2022 07:00 (UTC)","421","n/e","n/e","n/e","2048","0","n/e","n/e","n/e","n/e","0","15","263","7","n/e","n/e","28","n/e","0","n/e","0","121"
"Portugal (PT)","12.02.2022 07:00 - 12.02.2022 08:00 (UTC)","423","n/e","n/e","n/e","2267","0","n/e","n/e","n/e","n/e","117","14","361","56","n/e","n/e","28","n/e","6","n/e","0","138"
"Portugal (PT)","12.02.2022 08:00 - 12.02.2022 09:00 (UTC)","423","n/e","n/e","n/e","2584","0","n/e","n/e","n/e","n/e","420","13","343","49","n/e","n/e","29","n/e","116","n/e","0","126"
"Portugal (PT)","12.02.2022 09:00 - 12.02.2022 10:00 (UTC)","423","n/e","n/e","n/e","2616","0","n/e","n/e","n/e","n/e","76","15","238","46","n/e","n/e","29","n/e","252","n/e","0","81"
"Portugal (PT)","12.02.2022 10:00 - 12.02.2022 11:00 (UTC)","422","n/e","n/e","n/e","2368","0","n/e","n/e","n/e","n/e","266","7","56","0","n/e","n/e","29","n/e","360","n/e","0","79"
"Portugal (PT)","12.02.2022 11:00 - 12.02.2022 12:00 (UTC)","421","n/e","n/e","n/e","2190","0","n/e","n/e","n/e","n/e","95","6","60","7","n/e","n/e","29","n/e","529","n/e","0","117"
"Portugal (PT)","12.02.2022 12:00 - 12.02.2022 13:00 (UTC)","419","n/e","n/e","n/e","2178","0","n/e","n/e","n/e","n/e","0","7","35","0","n/e","n/e","28","n/e","610","n/e","0","108"
"Portugal (PT)","12.02.2022 13:00 - 12.02.2022 14:00 (UTC)","422","n/e","n/e","n/e","2329","0","n/e","n/e","n/e","n/e","44","353","31","0","n/e","n/e","29","n/e","555","n/e","0","129"
"Portugal (PT)","12.02.2022 14:00 - 12.02.2022 15:00 (UTC)","427","n/e","n/e","n/e","2106","0","n/e","n/e","n/e","n/e","0","359","32","0","n/e","n/e","29","n/e","463","n/e","0","183"
